start,open,high,low,close,vwp,volume,trades
1550457840000,3712.63,3740,3710.2,3732.72,3724.5785693510416,2363.9613959999992,13621
1550461440000,3732.72,3741.16,3710.85,3722.36,3726.4287915313844,1553.1837720000003,11343
1550465040000,3722.76,3725.12,3696.65,3707.96,3712.062860175594,1176.6797980000001,7802
1550468640000,3707.92,3737.62,3706.99,3734.1,3724.5842212140005,1254.7833150000006,9198
1550472240000,3734.19,3761.29,3725,3739.54,3740.588332505793,2365.925652,12698
1550475840000,3739.54,3746.01,3728.1,3744.34,3736.8069619882626,1407.3534830000003,8783
1550479440000,3744.71,3755.32,3731.99,3744.39,3742.132866955599,1878.6730530000002,9336
1550483040000,3744.98,3755,3730,3736.09,3741.914646420871,1697.4414000000002,10225
1550486640000,3736.13,3742.88,3717,3734.91,3728.78647770744,2021.8718189999995,10652
1550490240000,3735.86,3760.22,3727.23,3751.61,3744.993056186358,2385.351139999999,15293
1550493840000,3751.63,3815.7,3748.67,3810.01,3781.516433593816,5197.664334,24905
1550497440000,3810,3848,3808,3811.45,3827.0954775499013,5508.608864000001,26772
1550501040000,3811.47,3823,3787.1,3822.78,3807.426483664698,3897.837904000002,18026
1550504640000,3822.78,3925,3814.67,3884.56,3872.188021846689,5764.916097000001,33327
1550508240000,3884.37,3896.88,3845.23,3874.87,3871.139319557126,5281.353482,24524
1550511840000,3874.85,3917,3862.8,3908.03,3893.7109410859357,2575.150819,16985
1550515440000,3909.08,3918,3894.08,3902,3904.1188345909964,1936.8327099999997,14608
1550519040000,3902.93,3902.95,3876.43,3898.64,3893.846242317618,1912.8702890000006,15639
1550522640000,3898.44,3911.68,3895.01,3898.13,3902.1855209204705,956.8036559999999,10150
1550526240000,3898.66,3900,3856.97,3880.6,3879.790343744812,1525.9656260000006,13793
1550529840000,3880.64,3903,3876.67,3901.83,3890.8057480114194,917.6043270000002,10474
1550533440000,3901.73,3964,3891,3962.3,3929.5695574457604,2893.6256699999994,18365
1550537040000,3962.97,3974.98,3869.11,3874.59,3920.6144815943344,3819.4408299999986,21291
1550540640000,3875.05,3887,3856,3883.01,3877.152457105984,2498.4694799999993,16127
1550544240000,3884.68,3884.69,3868,3879.85,3876.1702318527864,1169.844638,7611
1550547840000,3880,3908.28,3878.22,3886.65,3891.9283648734445,1107.4544419999995,5181
1550551440000,3886.65,3907,3878.36,3883.43,3892.8638810464145,1359.1564610000003,10490
1550555040000,3883.73,3899.76,3876.48,3893.7,3888.567333513184,1395.0703600000004,11869
1550558640000,3893.72,3918.93,3890.82,3902.36,3907.5322185006657,1982.882294,13643
1550562240000,3902.69,3920,3901.51,3915,3910.3287278204834,1944.5995780000005,13026
1550565840000,3915,3922,3899.41,3900.03,3912.6547023947924,2239.5049899999995,13674
1550569440000,3900.05,3903.04,3872.78,3881.02,3888.8318738280213,3166.553122,17440
1550573040000,3881.95,3900.73,3881.43,3891.67,3892.1811426775844,1348.404213,9336
1550576640000,3890.92,3918.66,3890.12,3907.36,3906.9691262791707,1438.4070579999998,10399
1550580240000,3907.59,3957.69,3906.62,3943.85,3931.2131127508924,2996.31395,14597
1550583840000,3943.83,3994.52,3930.92,3936.01,3963.9303860748123,4852.722283999999,21241
1550587440000,3937.53,3975.98,3930.72,3964.65,3957.5378200894315,2402.7602149999984,14201
1550591040000,3965.37,3988.21,3958.03,3974.56,3971.056583093294,2998.7447459999994,16488
1550594640000,3974.55,3975.6,3937.26,3964.02,3957.8672491585885,1984.6565520000006,12373
1550598240000,3964.03,3966.52,3942.93,3945.5,3954.2433984420773,1242.491731,9297
1550601840000,3945.9,3972.48,3943.77,3964.35,3957.8262377337683,1118.7427469999998,9908
1550605440000,3964.38,3970,3945.02,3957.4,3957.974895969452,1021.941129,9131
1550609040000,3957.02,3964.4,3925.6,3932.33,3947.943129689232,1168.373624,9577
1550612640000,3932.73,3943.4,3893,3932.96,3921.543209659614,2502.7323349999997,16581
1550616240000,3933.44,3940.05,3902.22,3907,3926.197098921004,1296.0018499999994,10382
1550619840000,3906.48,3919.05,3870.66,3888.1,3895.806505125198,2559.9030510000002,18529
1550623440000,3888.38,3905.4,3876.4,3903.14,3890.330401533405,1636.2431669999996,11667
1550627040000,3903.14,3912.95,3893.56,3906.99,3903.5831638104523,1169.5569809999997,8851
1550630640000,3905.91,3927.22,3905.91,3921.85,3917.3165196676564,1198.260548,8218
1550634240000,3922.17,3923.5,3904.39,3912.18,3914.491712949711,697.9910390000001,6862
1550637840000,3911.57,3912.47,3890,3903.58,3899.3029197347,1115.1202910000004,8937
1550641440000,3903.98,3912.6,3896.01,3898.47,3902.3193354705722,877.223409,7141
1550645040000,3898.41,3919,3897.44,3917.72,3909.6731929195325,1050.989675,8418
1550648640000,3917.72,3930,3907.42,3928.07,3917.6081863106792,1606.2571460000006,10031
1550652240000,3927.67,3942.93,3924.19,3933.09,3933.1449940729613,2316.8519279999996,12321
1550655840000,3933.11,3975.61,3920.69,3958.79,3953.7318113796905,2901.980076,16462
1550659440000,3958.79,3977,3945.56,3958.25,3961.247681296029,2040.0910210000004,11216
1550663040000,3958.25,3974.99,3949,3969.43,3961.619269096728,1635.9697559999995,10372
1550666640000,3969.42,3986.98,3946.81,3950.91,3966.353827839193,2816.756336000001,14338
1550670240000,3951.26,3960,3936.18,3949.18,3947.472197537035,1982.3507510000004,11779
1550673840000,3949.57,3958.72,3930.78,3931.85,3945.403175332583,1415.6255200000005,8720
1550677440000,3931.88,3960.49,3924.64,3956.53,3947.2365672042033,1759.2459760000004,10132
1550681040000,3956.15,3966,3945,3946.21,3955.1453054152407,1202.662638,8568
1550684640000,3946.17,3949.99,3931.78,3947.52,3941.9135445585025,1123.2909369999998,9686
1550688240000,3947.53,3955.95,3938.02,3953.31,3948.148916681535,733.1428900000001,6906
1550691840000,3953.61,3967.55,3948.14,3963.58,3958.195814788073,1151.6437359999995,7873
1550695440000,3963.58,3972.79,3948.2,3955.02,3963.0920065996506,1274.210249,7866
1550699040000,3955.94,3963.33,3941.32,3959.96,3952.380511992041,757.2171849999999,6602
1550702640000,3959.96,3971.88,3954,3970.94,3961.059545253184,1028.441791,7289
1550706240000,3970.96,3980,3944,3946.57,3959.426531135734,2143.551557,11619
1550709840000,3946.67,3960.41,3943.18,3951.26,3951.316202554372,989.62352,7141
